term_id,ledger_class,owner,mathematical_definition,conjugate_input,conjugate_rate,sign_in_balance,stage_status,double_count_guard,verification_id
E_SUPPORT_LATERAL,stored_energy,fixed_lateral_environment,"0.5*sum_i w_i*(x_i-y_i)^T*K_lateral*(x_i-y_i)",lateral-support displacement,node velocity,lhs_time_derivative,frozen_stage0_not_authorized,"directional outward perimeter myocardial faces only",SUPPORT-FIXED-LEDGER
E_FIXTURE_D,stored_energy,fixed_gate_D_fixture,"0.5*sum_i w_i*(x_i-y_i)^T*K_fixture*(x_i-y_i)",fixture displacement,node velocity,lhs_time_derivative,frozen_stage0_not_authorized,"Gate D ECM.outer_facing only; y_dot=0",GATED-FIXTURE-OWNER
D_CELL,dissipation,cell_drag,"sum_i zeta_i*||v_i||^2",cell nodal velocity,cell nodal velocity,lhs_positive,frozen_stage0_not_authorized,"one contribution per DCM node",DISSIPATION-NONNEGATIVE
D_ECM_INTERNAL,dissipation,ECM_internal_variable,"integral eta_ve*||Z_dot||_F^2 dV0",thermodynamic force,Z_dot,lhs_positive,frozen_stage0_not_authorized,"equals -dW_ve/dZ:Z_dot",ECM-RELAXATION
D_SUPPORT_OUTER,dissipation,fixed_outer_environment,"sum_i w_i*v_i^T*C_outer*v_i",outer node velocity,outer node velocity,lhs_positive,frozen_stage0_not_authorized,"fixed base; not merged with cell drag",SUPPORT-FIXED-LEDGER
D_SUPPORT_LATERAL,dissipation,fixed_lateral_environment,"sum_i w_i*v_i^T*C_lateral*v_i",lateral node velocity,lateral node velocity,lhs_positive,frozen_stage0_not_authorized,"fixed base; directional face owners only",SUPPORT-FIXED-LEDGER
D_FIXTURE_D,dissipation,fixed_gate_D_fixture,"sum_i w_i*v_i^T*C_fixture*v_i",fixture node velocity,fixture node velocity,lhs_positive,frozen_stage0_not_authorized,"Gate D only; fixed base",GATED-FIXTURE-OWNER
D_CONTACT,dissipation,nonconservative_contact,"0 in v04",none,none,lhs_positive,frozen_zero,"steric and adhesion are conservative; friction disabled",DISSIPATION-NONNEGATIVE
P_ACTIVE,input_power,preferred_length_controller,"(dPsi_active/dLf_star)*Lf_star_dot=-kf*(Lf-Lf_star)*Lf_star_dot",Lf_star,Lf_star_dot,rhs_positive,frozen_stage0_not_authorized,"do not negate again or merge with E_ACTIVE",ACTIVE-POWER-SIGN
P_PRESSURE,input_power,blood_pressure_port,"sum_i f_pressure_i dot v_i where each current apical face contributes f_fa=(A_f/3)*[-p(t)n_f]",pressure envelope,assembled apical nodal velocity,rhs_positive,frozen_stage0_not_authorized,"same current-area one-point nodal force block owns resultant leakage and power; ECM has no direct contribution",LOAD-PRESSURE-NORMAL
P_WSS,input_power,blood_WSS_port,"sum_i f_WSS_i dot v_i where each current apical face contributes f_fa=(A_f/3)*[(I-n_f tensor n_f)tau_w(t)]",WSS envelope,assembled apical nodal velocity,rhs_positive,frozen_stage0_not_authorized,"same current-area one-point nodal force block owns resultant leakage and power; separate from chi_E",LOAD-WSS-TANGENTIAL
X_SUPPORT_BASE_ZERO,excluded_fixed_port,fixed_support_reference,"P_support_base=0 because y_dot=0",fixed base,zero,excluded,frozen_zero,"moving support is not a v04 capability",SUPPORT-FIXED-LEDGER
X_FIXTURE_BASE_ZERO,excluded_fixed_port,fixed_gate_D_fixture,"P_fixture_D_base=0 because y_dot=0",fixed fixture base,zero,excluded,frozen_zero,"Gate D only; no moving-fixture interpretation",GATED-FIXTURE-OWNER
X_CHI_E,excluded_nonmechanical,flow_sensor,"tau_chi*chi_E_dot=G(||tau_w_command||)-chi_E",unprojected prescribed WSS command magnitude,global diagnostic evolution,excluded,diagnostic_only,"one global command filter only; not local projected shear and WSS power already belongs to P_WSS",SENSOR-CHI-EXCLUDED
X_INTERNAL_PAIR_TRANSFER,excluded_internal_transfer,steric_and_material_pairs,"same discrete potential generates both sides",pair displacement,pair relative velocity,excluded,frozen_stage0_not_authorized,"not an external input",CONTACT-ACTION-REACTION
X_CCD_GUARD,excluded_geometry_event,proper_intersection_guard,"continuous triangle-triangle collision detection rejects an unpenalized proper crossing",trial path,accept or reject event,excluded,diagnostic_only,"not a force energy dissipation or external input",STERIC-INTERSECTION-GUARD
X_GAUGE,excluded_constraint_reaction,global_numerical_gauge,"six holonomic constraints with zero rate",constraint multiplier,zero,excluded,diagnostic_only,"never relabel as support",GAUGE-ZERO-POWER
X_A_H_TURNOVER,excluded_frozen_process,ECM_turnover,"A_hat_dot=0 and H_ECM_hat_dot=0",A_hat and H_ECM_hat,zero,excluded,frozen_zero,"variables remain distinct",AH-SEPARATION
X_J_MYO,excluded_frozen_process,myocardial_source,"one hashed record per myocardial basal master face to a unique boundary-adjacent ECM tetra; j_myo=0",basal source-map record,zero,excluded,frozen_zero,"map ownership and coverage are tested but amount residual and source power are exactly zero",SOURCE-JMYO-ZERO
R_POWER,power_residual,whole_model,"|DeltaPsi+Trapz(D)-Trapz(P_active+P_pressure+P_WSS)| / max(1,|DeltaPsi|+Trapz(D)+Trapz(|P_active|+|P_pressure|+|P_WSS|))",all registered ledger terms,time,normalized_lhs_minus_rhs,required_not_authorized,"every included term has one owner; fixed base ports are zero",POWER-INTEGRATED-RESIDUAL
